ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
2,null,Asthma,null,Phase not specified,NS,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,60,fluticasone furoate; fluticasone propionate,60,null,"A randomized, double-blind, placebo-controlled, multicenter study was conducted to evaluate the efficacy and safety of powder for inhalation of fluticasone furoate and powder for inhalation of fluticasone propionate in the treatment of asthma in adults and adolescents who are receiving treatment with inhaled corticosteroids",FFA115285,GlaxoSmithKline plc,169280,"OCTOBER  , 18, 2011",Completed
1,null,Perennial allergic rhinitis,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,34,triamcinolone acetonide,34,SMART,"A phase IV, randomized, double-blind, placebo-controlled, crossover, single-center study to assess the efficacy and efficacy of Nasacort in patients with perennial allergic rhinitis",SMART; XRG5029C/4004,Sanofi SA,88927,"JULY     , 25, 2002",No longer recruiting
2,null,Asthma,null,Phase 2 Clinical,C2,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,40,Flutiform; Relvar,40,null,Comparison of clinical efficacy between FFC and VFC,UMIN000031039,Kyorin Pharmaceutical Co Ltd,326992,"JANUARY  , 29, 2018",Recruiting
2,Body surface area,Psoriasis,null,Phase 4 Clinical,C4,"clobetasol propionate foam, Connetics",18168,63,"Sorilux; Sorilux; clobetasol propionate foam, Connetics",63,null,Olux-E Foam and Sorilux Foam Combination Therapy for the Maintenance of Treatment Response in Patients With Moderate Plaque Psoriasis,NCT01745133; OLX0112,"Derm Research, PLLC",101105,"JANUARY  , 31, 2013",Completed
2,null,Asthma,null,Phase not specified,NS,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,637,"ciclesonide (metered dose inhaler), Nycomed; fluticasone",474,null,"A 12-week, randomized, open-label, parallel-group study to evaluate the safety and efficacy of ciclesonide versus fluticasone propionate in patients with moderate persistent asthma",BY9010/M1-133,Takeda GmbH,76915,"DECEMBER , 31, 2003",Status not specified
1,Alanine Aminotransferase; Albumin; Alkaline Phosphatase; Aspartate Aminotransferase; Creatinine; Glucose; Hematocrit; Hemoglobin; Platelets; Potassium; Red blood cells; Sodium; Total Bilirubin; Total Protein; Urea Nitrogen; White blood cells,Perennial allergic rhinitis,null,Phase 4 Clinical,C4,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,60,Avamys,56,null,"A Phase IV, Open-label Study to Evaluate Safety/Tolerability of Once-daily AVAMYS Aqueous Nasal Spray 110 microg Among Vietnamese Adult Patients With Established Perennial Allergic Rhinitis",112185; AVY-REG00108VN; NCT01270958,GlaxoSmithKline plc,73628,"AUGUST   , 31, 2009",Completed
2,Cortisol,Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,28,GW-685698X; fluticasone propionate,28,null,"A phase I, randomized, multicenter, double-blind, placebo-controlled, balanced incomplete block, multiple-dose, three-period crossover study to determine  the effect of 3 days repeat dosing of GW-685698X and fluticasone propionate (1000 microg) on exhaled nitric oxide in patients with mild to moderate asthma",FFA10028,GlaxoSmithKline plc,87541,"MARCH    , 24, 2003",Status not specified
1,Retina; Visual acuity,Diabetic macular edema,null,Phase 2b Clinical,C2B,"triamcinolone acetonide (intravitreal implant, I-vation, diabetic macular edema), SurModics",55108,2,"triamcinolone acetonide (intravitreal implant, I-vation, diabetic macular edema), SurModics",2,null,A Study of MK-0140 in Diabetic Patients With Macular Edema,0140-001; 2008_521; MK0140-001; NCT00692614,Merck Sharp & Dohme Corp,16677,"JUNE     , 30, 2008",Terminated
1,null,Proctitis,null,Phase 3 Clinical,C3,"budesonide (rectal foam, ulcerative colitis), Dr Falk Pharma/Salix/Ajinomoto/EA Pharma/Kissei/Meda",59670,114,Rectabul,114,null,The Safety and Tolerability of Budesonide Foam in Subjects With Active Ulcerative Proctitis or Proctosigmoiditis,BFPS3073; NCT01349673,Salix Pharmaceuticals Ltd,77185,"JUNE     , 30, 2011",Completed
1,FEV1; FeNO,Allergic rhinitis,null,Phase 2 Clinical,C2,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,91,"fluticasone furoate (nasal, allergic rhinitis), GSK",91,YSCO,The Protective Effect of a Nasal Corticosteroid (Avamys) On Exercise Induced Airway Obstruction in Cold Air in Children,EudraCT: 2009-010563-17; FF1; ISRCTN90761040; NL26953.044.09; YSCO,Stichting Pediatrisch Onderzoek Enschede,118794,"MARCH    , 05, 2009",Completed
1,Retinal thickness,Macular edema,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,100,triamcinolone acetonide,100,null,Clinical study about ophthalmic local administrations of triamcinolone acetonide for macular edema and/or retinal periphlebitis,JPRN-UMIN000005778,Yamagata University,121608,"JULY     , 01, 2006",Recruiting
1+,null,Crohns disease,null,Phase not specified,NS,"budesonide (oral capsule/enema, Crohn's disease/microsopic colitis/ulcerative colitis), AstraZeneca/ Tillotts Pharma/ Perrigo",55981,130,Budenofalk; Entocort; Flagyl; Medrol; azathioprine; folic acid; infliximab; methotrexate; prednisolone,130,null,"The Ideal Management of Crohn's Disease: Top-Down Versus Step-Up Strategies - A Prospective, Controlled Trial in the Benelux",ISRCTN61510219; NTR379,"Academic Medical Center, University of Amsterdam",120593,"MAY      , 01, 2001",Completed
2,null,Psoriasis,null,Phase 4 Clinical,C4,"betamethasone valerate (transdermal patch, skin diseases), Institut Biochimique",78444,300,"betamethasone valerate (transdermal patch, skin diseases), Institut Biochimique; calcipotriol + betamethasone dipropionate, LEO",300,null,Comparison of Efficacy and Safety of Betesil Medicated Plaster Versus Daivobet/Dovobet Ointment in the Treatment of Chronic Plaque Psoriasis,09EU_BMT12; EudraCT: 2009-016969-28; ISRCTN34974208,Institut Biochimique SA,120685,"APRIL    , 01, 2010",Completed
1,null,Allergic rhinitis,null,Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,304,fluticasone furoate,304,null,Study In Adults And Adolescents With Seasonal Allergic Rhinitis,FFR30003; NCT00115622,GlaxoSmithKline plc,12091,"DECEMBER , 31, 2004",Completed
3,Central macular thickness; Visual acuity,Diabetic macular edema,null,Phase 2 Clinical,C2,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,105,bevacizumab; grid laser photocoagulation; triamcinolone acetonide,105,null,Efficacy of Macular Laser Photocoagulation With or Without Intravitreal Injection of Bevacizumab (Avastin) or Triamcinolone Acetonide for Diffuse Diabetic Macular Edema,IRCT201205029617N1,Ahvaz Jundishapur University of Medical Sciences,125066,"MAY      , 10, 2011",No longer recruiting
1,null,Allergic rhinitis,null,Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,380,fluticasone furoate,380,null,Study In Adolescent and Adult Subjects 12 Years of Age and Older With Seasonal Allergic Rhinitis To Assess Onset of Action,FFR101816; NCT00118729,GlaxoSmithKline Inc,12406,"APRIL    , 30, 2005",Completed
1,null,Perennial allergic rhinitis,null,Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,61,"fluticasone furoate (nasal, allergic rhinitis), GSK",61,null,"Study FFR116365, an Open-label Study of GW-685698X in Pediatric Subjects With Perennial Allergic Rhinitis",116365; FFR116365; JapicCTI-121890; NCT01622231,GlaxoSmithKline plc,88495,"JUNE     , 30, 2012",Completed
3+,null,Sarcoidosis,null,Phase 4 Clinical,C4,"triamcinolone acetonide (intravitreal injection, diabetic macular edema), Wakamoto/ Hanmi",81991,7,methotrexate; methylprednisolone; prednisone; prednisone; triamcinolone acetonide,7,UVEXATE,Efficacy Study of Methotrexate to Treat Sarcoid-associated Uveitis,NCT00918554; P070140; UVEXATE,Assistance Publique Hopitaux de Paris,169537,"SEPTEMBER, 30, 2009",Terminated
2,Adrenocorticotropic Hormone; Fasting blood glucose; Hypothalamic-pituitary-adrenal (HPA) axis hormone; Lymphocyte; Osteocalcin,Multiple sclerosis,methylprednisolone,Phase 1 Clinical,C1,"methylprednisolone (PEGylated liposomal, neuroinflammation), EnhanX Biopharm",64904,47,2B3-201,42,null,"Safety, Pharmacokinetics and Pharmacodynamics Study With 2B3-201 in Healthy Subjects and Multiple Sclerosis (MS) Patients",2013-004077-28; 2B3-201-CR-001; NCT02048358,2-BBB Medicines BV,170415,"NOVEMBER , 30, 2013",Terminated
2,Arm circumference,Anesthesia,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,66,"bupivacaine, AstraZeneca; triamcinolone acetonide",66,null,Comparative Effectiveness of Corticosteroid Preparation in Sympathetic Ganglion Block on Lymphedema,2010-0206; KCT0000300,Seoul National University Hospital,127593,"APRIL    , 30, 2010",Recruiting
1,null,Diabetic macular edema,null,Phase 1 Clinical,C1,"triamcinolone acetonide (intravitreal implant, I-vation, diabetic macular edema), SurModics",55108,31,triamcinolone acetonide,31,STRIDE,Safety and Tolerability Study of the Helical Intravitreal Triamcinolone Implant in Diabetic Macular Edema,NCT00915837; SRDX- 001; STRIDE,SurModics Inc,57663,"JUNE     , 30, 2005",Completed
1,null,Asthma,null,Phase Not Applicable,PNA,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,null,Relovair,null,null,"A randomized, double-blind, placebo-controlled, multicenter, parallel group comparative study of fluticasone furoate inhalation powder and fluticasone furoate / GW642444 formulations that target persistent asthma adolescent patients",108 627; JapicCTI-101294,GlaxoSmithKline plc,131588,"OCTOBER  , 05, 2010",No longer recruiting
1,null,Herpes simplex virus infection,null,Phase 2 Clinical,C2,"aciclovir + hydrocortisone (dermatological), Medivir",17335,417,ME-609,380,null,Efficacy of Acyclovir in Combination With a Glucocorticosteroid on UV-Induced Herpes Labialis,98-609-013; NCT00736437,Medivir AB,23303,"AUGUST   , 31, 1999",Completed
4,null,Asthma,"Carbomix granules; fluticasone propionate + salmeterol (asthma and COPD), GlaxoSmithKline; fluticasone propionate + salmeterol (asthma and COPD), GlaxoSmithKline",Phase 1 Clinical,C1,"fluticasone propionate + salmeterol xinafoate (Easyhaler, asthma/COPD), Orion",81111,129,Carbomix granules; fluticasone propionate + salmeterol xinafoate; fluticasone propionate + salmeterol xinafoate,129,null,Pharmacokinetic Study Comparing Salmeterol/Fluticasone Easyhaler Products and Seretide Diskus,3106009; NCT02162485,Orion Corp,196211,"JUNE     , 30, 2014",Completed
2,null,Diabetic macular edema,null,Phase 3 Clinical,C3,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,150,bevacizumab; bevacizumab; triamcinolone acetonide,129,null,Effect of Intravitreal Bevacizumab on Clinically Significant Macular Edema,8411; NCT00370669,Shaheed Beheshti Medical University,4334,"NOVEMBER , 30, 2005",Recruiting
4,"17-alpha-hydroxyprogesterone; Adrenocorticotropic hormone; Blood pressure; Body Mass Index; Body temperature; Bone formation rate; C-terminal telopeptide of collagen type I; Corticosterone; Cortodoxone; Dystrophin; Glucose; Heart rate; Hemoglobin A, glycosylated; High-density lipoprotein cholesterol; Hydrocortisone; Insulin; Low-density lipoprotein cholesterol; Muscle strength; Osteocalcin; Procollagen Type I N-terminal peptide; Respiratory frequency; Six-minute walk distance; Testosterone; Total body mass; Total cholesterol; Triglycerides",Duchenne dystrophy,deflazacort; glucocorticoid therapy; prednisone,Phase 2a Clinical,C2A,vamorolone,70712,48,vamorolone,48,VISION-DMD,A Study to Assess Vamorolone in Boys With Duchenne Muscular Dystrophy (DMD),1R44NS095423-01; 1U34AR068616-01; 2016-004263-38; NCT02760264; VBP15-002; VBP15-003; VISION-DMD,ReveraGen BioPharma Inc,260105,"JUNE     , 30, 2016",Completed
1,null,Diarrhea,null,Phase 2/Phase 3 Clinical,C23,"budesonide (oral capsule/enema, Crohn's disease/microsopic colitis/ulcerative colitis), AstraZeneca/ Tillotts Pharma/ Perrigo",55981,16,Entocort EC,16,null,Budesonide Versus Placebo for the Treatment of Lymphocytic Colitis,1132-03; IRUSBUEN0002; NCT00217022; UL1RR024150,Mayo Clinic Foundation,199220,"JUNE     , 30, 2003",Terminated
1,null,Asthma,null,Phase 3 Clinical,C3,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,20,"ciclesonide (metered dose inhaler), Nycomed",16,null,Efficacy of Ciclesonide on Small Airways in Patients With Stable Asthma (18 to 60 years),BY9010/M1-131; NCT00163345,AstraZeneca plc,22011,"SEPTEMBER, 30, 2003",Completed
2,null,Obstructive sleep apnea,null,Phase 3 Clinical,C3,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,44,"Thermosmart; triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",44,Thermosmart,Effect of Heated Humidity With Thermosmart Compared to an Intranasal Steroid in Improving Compliance and Nasal Symptoms in Patients Using Continuous Positive Airway Pressure,F & P 07-004; NCT00665977; Thermosmart,Clayton Sleep Insititute,175536,"SEPTEMBER, 30, 2007",Completed
1,null,Asthma,null,Phase not specified,NS,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,12,ciclesonide,12,null,Evaluation of Traditional Paper Symptom Diary Versus the VOCEL Mobile Diary,CICLE-L-01335; NCT00367263,Allergy and Asthma Medical Group and Research Center,22407,"OCTOBER  , 31, 2006",Completed
2,Knee stiffness,Pain,Kenalog-40,Phase 2 Clinical,C2,"triamcinolone acetonide (sustained-release, pain), Flexion",72124,6,Zilretta,6,null,Proof of Concept Study Comparing FX-006 to Kenalog-40 in Patients With Post-Traumatic Osteoarthritis of the Knee,FX006-2014-007; NCT02468583,Flexion Therapeutics Inc,231796,"FEBRUARY , 28, 2015",Terminated
1,Hydrocortisone,Allergic rhinitis,null,Phase 3 Clinical,C3,"beclomethasone dipropionate, (CFC-free), Teva",44414,106,Qvar; ciclesonide,106,null,Investigation of Potential Additive Inhibitory Effects on HPA-Axis of Ciclesonide Nasal Spray When Administered Concomitantly With Orally Inhaled Beclomethasone Dipropionate (HFA-BDP) in Patients With Perennial Allergic Rhinitis (PAR),BY9010/M1-408; NCT00659048,AstraZeneca plc,13328,"DECEMBER , 31, 2004",Completed
1,17-alpha-hydroxyprogesterone; Androgens; Androstenedione; Testosterone,Congenital adrenal hyperplasia,null,Phase 3 Clinical,C3,"hydrocortisone (oral granules, adrenal insufficiency), Diurnal/Emerge Health/Medison Pharma",79146,18,Infacort,24,null,Extension Study for Patients Entered Into Study Infacort 003,2015-000458-40; INFACORT 004; NCT02733367,Diurnal Ltd,257842,"MARCH    , 04, 2016",Completed
2+,Diastolic blood pressure; Forced expiratory volume; Heart rate; Systolic blood pressure,Chronic obstructive pulmonary disease,null,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,620,"fluticasone furoate + vilanterol trifenatate (oral inhalant, asthma/COPD), GlaxoSmithKline; fluticasone furoate + vilanterol trifenatate (oral inhalant, asthma/COPD), GlaxoSmithKline; placebo + fluticasone furoate + vilanterol; umeclidinium; umeclidinium (125 microg) + fluticasone furoate + vilanterol; umeclidinium (62.5 microg) + fluticasone furoate + vilanterol",1238,null,"Study to Compare the Addition of Umeclidinium Bromide (UMEC) to Fluticasone Furoate (FF)/Vilanterol (VI), With Placebo Plus FF/VI in Subjects With Chronic Obstructive Pulmonary Disease (COPD): Study 2",077; 200110; 2013-002239-44; 479; 855; IND IDE 104; NCT02119286,GlaxoSmithKline plc,183041,"OCTOBER  , 31, 2013",Completed
2,cortisol,Asthma,null,Phase 3 Clinical,C3,"beclomethasone dipropionate, (CFC-free), Teva",44414,52,"beclometasone; beclometasone (inhaled, CFC-free), Teva",52,null,"A Single-Center, Open-Label, Randomized, Two-Way Cross Over Study to Determine the Effects on the Short-Term Lower Leg Growth Rate Between Qvar 100 microg BD Delivered via a Metered Dose Inhaler (MDI) (TEVA UK Ltd) With a Reference Beclometasone Formulation via a Reference MDI in Children With Mild to Moderate Asthma",EudraCT 2007-007455-14; QV-001/2007-Pae,Teva Pharmaceutical Industries Ltd,151641,"APRIL    , 08, 2008",Completed
2,Fundus of eye; Intraocular pressure; Macula retinae,Macular edema,"dexamethasone (sustained release ophthalmic), Allergan/Sanwa",Phase 1/Phase 2 Clinical,C12,"dexamethasone (EyeGate II ocular inflammation therapy, iontophoresis delivery), EyeGate/ Bausch Health",54573,25,"dexamethasone (EyeGate II ocular inflammation therapy, iontophoresis delivery), EyeGate",25,null,"Open-Label, Multicenter, Phase Ib/IIa Clinical Trial Designed To Evaluate The Safety And Efficacy Of Iontophoretic Dexamethasone Phosphate Ophthalmic Solution In Patients With Macular Edema",EGP-437-007; NCT02485249,Eyegate Pharmaceuticals Inc,233505,"JULY     , 31, 2015",Terminated
1,Body height; Cortisol/Creatinine ratio; Hydrocortisone,Perennial allergic rhinitis,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,299,"loratadine; triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",299,null,"Study of Triamcinolone Acetonide on the Growth Velocity of Children, Ages 3 to 9, With Perennial Allergic Rhinitis (PAR)",2014-004645-27; NCT00449072; XRG5029C_3503,Sanofi SA,13825,"MARCH    , 31, 2007",Completed
2,null,Allergic rhinitis,null,Phase 2 Clinical,C2,"budesonide + azelastine (intranasal Captisol-enabled, allergic rhinitis), Sedor Pharmaceuticals",62431,65,CDX-313; Pulmicort,65,null,Compare Captisol-Enabled Budesonide Nasal Solution and Rhinocort Aqua in an Environmental Exposure Chamber (EEC) Study of Allergic Rhinitis,CDX947CT001; NCT00938613; P2DS06001,Ligand Pharmaceuticals Inc,59051,"FEBRUARY , 28, 2007",Completed
2,null,Osteoarthritis,prednisolone,Phase 2b Clinical,C2B,"prednisolone + dipyridamole (osteoarthritis, inflammation), Zalicus",50159,279,CRx-102,279,COMET-1,CRx-102 Osteoarthritis Multicenter Evaluation Trial,COMET-1; CRx-102-006; NCT00521989,Zalicus Inc,22235,"AUGUST   , 31, 2007",Terminated
4,Forced expiratory volume; Peak expiratory flow rate,Asthma,ciclesonide; formoterol fumarate,Phase 2 Clinical,C2,"ciclesonide + formoterol (inhaled, asthma), Altana/sanofi-aventis",48419,240,Ultrahaler; ciclesonide + formoterol,240,ADVICE,Safety and Tolerability of Ciclesonide and Formoterol Fumarate Inhaled Once Daily in Patients With Asthma (18 to 75 years),2004-004708-19; ADVICE; BY9010/M1-506; NCT00314509,"AstraZeneca plc, Takeda GmbH",21993,"JULY     , 31, 2005",Completed
2,Fovea centralis; Retina; Visual acuity,Macular edema,Eylea,Phase 3 Clinical,C3,"suprachoroidal triamcinolone acetonide + intravitreal aflibercept (diabetic macular edema), Clearside Biomedical",92483,460,CLS-1003,460,SAPPHIRE,Suprachoroidal Injection of Triamcinolone Acetonide With intravitreal Aflibercept in Subjects With Macular Edema Following RVO,2016-004648-12; 2017-CT0411; CLS1003-301; CLS1003-301 Amendment 1; CTRI/2017/11/010451; NCT02980874; PHRR170812-001654; SAPPHIRE,"Clearside Biomedical Inc, Syneos Health Inc",281144,"JANUARY  , 31, 2017",Terminated
1,Blood pressure; Cortisol; Heart rate; Pulse rate,Perennial allergic rhinitis,null,Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,736,"fluticasone furoate (nasal, allergic rhinitis), GSK",736,null,"A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multicenter, Long-Term Study to Evaluate the Safety of Once-Daily, Intranasal Administration of GW685698X Aqueous Nasal Spray 100 microg for 52 Weeks in Adult and Adolescent Subjects With Perennial Allergic Rhinitis",EudraCT 2004-000091-14; FFR102123,GlaxoSmithKline plc,140891,"SEPTEMBER, 17, 2004",Recruiting
1,Intraocular pressure; Visual acuity,Diabetic macular edema,null,Phase 3 Clinical,C3,"fluocinolone acetonide (intraocular implant), Alimera/pSivida",52822,120,Iluvien,120,FAME,Fluocinolone Acetonide in Diabetic Macular Edema (FAME) Extension Study,C-01-11-008; FAME; NCT01304706,Alimera Sciences Inc,75048,"APRIL    , 30, 2011",Completed
3,Forced expiratory volume; Glucose; PR interval; Peak expiratory flow rate; QRS complex; QT interval,Asthma,fluticasone furoate,Phase 3 Clinical,C3,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,870,ELLIPTA dry powder inhaler; Ellipta,870,null,Safety and Efficacy Study of Fluticasone Furoate/Vilanterol (FF/VI) Fixed Dose Combination (FDC) Compared to FF Alone in Subjects With Asthma,107116; 2016-004086-87; CTR20181312; HZA107116; JapicCTI-183937; NCT03248128,"Glaxo Group Research Ltd, GlaxoSmithKline plc",308779,"OCTOBER  , 20, 2017",Recruiting
1,null,Rheumatoid arthritis,null,Phase 4 Clinical,C4,"prednisone (oral, delayed release), Vectura/Mundipharma/Merck KGaA",54733,147,"prednisone (oral, delayed release), Horizon/Mundipharma",147,K-IMPROvE,Efficacy of Lodotra (Prednisone) in Reduction of Morning Stiffness Duration,K-IMPROvE; LOD13-KR-401; NCT02072200,Mundipharma Korea Ltd,175309,"SEPTEMBER, 30, 2013",Completed
1,null,Ocular inflammation,null,Phase 2 Clinical,C2,"dexamethasone intraocular injection (controlled/sustained release/Verisome), EyePoint",65274,6,IBI-10090,6,null,Efficacy and Safety Study of IBI-10090 in Patients Undergoing Cataract Surgery,C09-01; NCT01048593,Icon Bioscience Inc,63370,"JANUARY  , 31, 2010",Terminated
2,null,Graft versus host disease,null,Phase 3 Clinical,C3,"beclomethasone dipropionate (oral, radiation enteritis), Soligenix",49161,130,orBec; orBec; prednisone,129,null,Randomized Study of Oral Beclomethasone Dipropionate With Ten Days of Prednisone for Treatment of Gastrointestinal GVHD,ENT 00-02; NCT00233896,Enteron Pharmaceuticals Inc,26921,"JULY     , 31, 2001",Completed
1,Forced expiratory volume,Asthma,null,Phase 2 Clinical,C2,"beclomethasone dipropionate, (CFC-free), Teva",44414,21,beclomethasone dipropionate,21,null,The Effect of HFA - Beclomethasone Dipropionate Qvar on Bronchial Hyperreactivity in Preschool Children,NCT01006655; qvar-adenosineCTIL,Rambam Health Care Campus,61615,"MARCH    , 31, 2009",Completed
2,Intraocular pressure; Retina; Visual acuity,Diabetic macular edema,null,Phase 3 Clinical,C3,"fluocinolone acetonide (intraocular implant), Alimera/pSivida",52822,956,Iluvien; standard of care laser photocoagulation,956,FAME,Fluocinolone Acetonide Implant Compared to Sham Injection in Patients with Diabetic Macular Edema,C-01-05-001; FAME; NCT00344968,Alimera Sciences Inc,4321,"SEPTEMBER, 30, 2007",Completed
2,C-reactive protein,Rheumatoid arthritis,DMARD therapy,Phase 2 Clinical,C2,"prednisolone + dipyridamole (osteoarthritis, inflammation), Zalicus",50159,59,CRx-102; DMARD therapy,59,null,A Study Comparing CRx-102 Plus Disease-modifying Anti-rheumatic Drug (DMARD) Therapy to Placebo Plus DMARD Therapy in RA,CRx-102-002; NCT00747214,Zalicus Inc,25682,"NOVEMBER , 30, 2004",Completed
2,null,Ulcerative colitis,Entocort EC,Phase 3 Clinical,C3,"budesonide (oral capsule/enema, Crohn's disease/microsopic colitis/ulcerative colitis), AstraZeneca/ Tillotts Pharma/ Perrigo",55981,514,Budesonide-MMX,511,CORE II,"Randomized, placebo-controlled trial of budesonide-MMX 6 and 9 mg in patients with ulcerative colitis",CB-01-02/02; CORE II; NCT00679380,Salix Pharmaceuticals Ltd,18729,"JUNE     , 30, 2008",Completed
2,null,Otitis externa,Ciprodex,Phase 3 Clinical,C3,"dexamethasone + povidone iodine (otitis), Foresight Biotherapeutics",64095,70,FST-201,70,null,FST-201 in the Treatment of Acute Otitis Externa,FST201-AOE-AS; NCT00961675,Shire plc,59715,"AUGUST   , 31, 2009",Completed
2,null,Seasonal allergic rhinitis,"fluticasone furoate (nasal, allergic rhinitis), GSK",Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,962,fluticasone furoate,962,null,A Study Comparing Two Fluticasone Furoate Nasal Sprays in the Relief of the Signs and Symptoms of Seasonal Allergic Rhinitis,71047201; LEK PROJECT NUMBER: 2010-02; NCT01279057,Sandoz Inc,176014,"DECEMBER , 31, 2010",Completed
1,Blood pressure; Body temperature; Diastolic blood pressure; Heart rate; Systolic blood pressure,Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,30,fluticasone furoate,30,null,Pharmacokinetic Profile of Four Formulations of Fluticasone Furoate (FF) Using Unit Dose Dry Powder Inhaler (UD-DPI) Compared With FF ELLIPTA Presentation,200939; NCT02218723,GlaxoSmithKline plc,208426,"OCTOBER  , 28, 2014",Completed
2,null,Allergic rhinitis,null,Phase 4 Clinical,C4,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,null,Patanase; Veramyst,null,null,An Allergen BioCube (ABC) Study Evaluating the Onset of Action of Fluticasone Furoate Nasal Spray and Olopatadine Nasal Spray Compared to Placebo,10-270-0006; NCT01076439,ORA Inc,64469,"FEBRUARY , 24, 2010",Terminated
2,null,Osteoarthritis,Kenalog-40,Phase 2a Clinical,C2A,"triamcinolone acetonide (sustained-release, pain), Flexion",72124,50,Zilretta,50,null,Study to Characterize the Local Duration of Exposure From FX-006 in Patients With Osteoarthritis of the Knee,FX006-2013-005; NCT02003365,Flexion Therapeutics Inc,163029,"NOVEMBER , 30, 2013",Completed
2,null,Ear disease,Ciprodex,Phase 3 Clinical,C3,"dexamethasone + povidone iodine (otitis), Foresight Biotherapeutics",64095,5,FST-201,5,null,FST-201 In The Treatment of Acute Otitis Externa,FST201-AOE-02; NCT00945802,Shire plc,59121,"JULY     , 31, 2009",Terminated
2,Forced expiratory flow ; Forced expiratory volume,Asthma,CHF-1535,Phase 3 Clinical,C3,"beclomethasone dipropionate + formoterol fumarate + CHF-5992 (inhaled, COPD), Chiesi",73605,1153,CHF-5993,1153,TRIMARAN,Triple in Asthma With Uncontrolled Patient on Medium Strength of ICS + LABA,2015-000716-18; CCD-05993AB1-03; NCT02676076; TRIMARAN,Chiesi Farmaceutici SpA,252805,"FEBRUARY , 17, 2016",Completed
2,null,Bronchospasm,fluticasone propionate,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,null,Relovair,null,null,A Study of a New Asthma Medicine in Asthmatics Whose Asthma Worsens With Exercise,106847; NCT01435902,GlaxoSmithKline plc,80962,"JANUARY  , 31, 2012",Terminated
1,null,Crohns disease,null,Phase 2 Clinical,C2,"budesonide (oral capsule/enema, Crohn's disease/microsopic colitis/ulcerative colitis), AstraZeneca/ Tillotts Pharma/ Perrigo",55981,75,Entocort,75,null,Efficacy and Safety Study of D-9421-C 9 mg and 15 mg Versus Placebo in Japanese Patients With Active Crohn's Disease,D9421C00002; JapicCTI-080566; NCT00573469,AstraZeneca plc,18570,"OCTOBER  , 31, 2006",Completed
1,Forced Vital Capacity; Forced expiratory flow ; Forced expiratory volume; Peak expiratory flow rate,Asthma,null,Phase 2b Clinical,C2B,"budesonide (aerosol inhalant/MDI, asthma), Pearl Therapeutics",90863,150,"budesonide (aerosol inhalant/MDI, asthma), Pearl Therapeutics",150,null,Study to Assess the Efficacy and Safety of Budesonide (PT-008) in Adult Subjects With Mild to Moderate Persistent Asthmaa,NCT02105012; PT008001,Pearl Therapeutics Inc,180805,"APRIL    , 01, 2014",Completed
